"Page","Name","HT","WT","Type","Strength","Attack 1","Attack 2","Attack 3","Attack 4","Bio","Comments"
"001","BULBASAUR","0.7M","6.8KG","SEED",4,"TACKLE","GROWL","LEECH SEED","VINE WHIP","A STRANGE SEED WAS PLANTED ON ITS BACK AT BIRTH. THE PLANT SPROUTS AND GROWS WITH THIS POKEMON.","Bio: 'POKéMON' → 'POKEMON'."
"002","IVYSAUR","1.0M","13.15KG","SEED",5,"LEECH SEED","VINE WHIP","POISONPOWDER","RAZOR LEAF","WHEN THE BULB ON ITS BACK GROWS LARGE, IT APPEARS TO LOSE THE ABILITY TO STAND ON ITS HIND LEGS.","-"
"003","VENUSAUR","2.0M","100.25KG","SEED",6,"RAZOR LEAF","GROWTH","SLEEP POWDER","SOLARBEAM","THE PLANT BLOOMS WHEN IT IS ABSORBING SOLAR ENERGY. IT STAYS ON THE MOVE TO SEEK SUNLIGHT.","-"
"004","CHARMANDER","0.6M","8.62KG","LIZARD",4,"SCRATCH","GROWL","EMBER","LEER","OBVIOUSLY PREFERS HOT PLACES. WHEN IT RAINS, STEAM IS SAID TO SPOUT FROM THE TIP OF ITS TAIL.","-"
"005","CHARMELEON","1.1M","19.05KG","FLAME",5,"EMBER","LEER","RAGE","SLASH","WHEN IT SWINGS ITS BURNING TAIL, IT ELEVATES THE TEMPERATURE TO UNBEARABLY HIGH LEVELS.","-"
"006","CHARIZARD","1.7M","90.72KG","FLAME",8,"RAGE","SLASH","FLAMETHROWER","FIRE SPIN","SPITS FIRE THAT IS HOT ENOUGH TO MELT BOULDERS. KNOWN TO CAUSE FOREST FIRES UNINTENTIONALLY.","-"
"007","SQUIRTLE","0.5M","9.07KG","TINYTURTLE",4,"TACKLE","TAIL WHIP","BUBBLE","WATER GUN","AFTER BIRTH, ITS BACK SWELLS AND HARDENS INTO A SHELL. POWERFULLY SPRAYS FOAM FROM ITS MOUTH.","-"
"008","WARTORTLE","1.0M","22.68KG","TURTLE",5,"BUBBLE","WATER GUN","WITHDRAW","BITE","OFTEN HIDES IN WATER TO STALK UNWARY PREY. FOR SWIMMING FAST, IT MOVES ITS EARS TO MAINTAIN BALANCE.","-"
"009","BLASTOISE","1.6M","85.73KG","SHELLFISH",9,"HYDRO PUMP","SKULL BASH","WITHDRAW","BITE","A BRUTAL POKEMON WITH PRESSURIZED WATER JETS ON ITS SHELL. THEY ARE USED FOR HIGH SPEED TACKLES.","Bio: 'POKéMON' → 'POKEMON'."
"010","CATERPIE","0.3M","2.72KG","WORM",4,"TACKLE","STRING SHOT","-","-","ITS SHORT FEET ARE TIPPED WITH SUCTION PADS THAT ENABLE IT TO TIRELESSLY CLIMB SLOPES AND WALLS.","Strength: higher than evolved form."
"011","METAPOD","0.7M","9.98KG","COCOON",3,"HARDEN","-","-","-","THIS POKEMON IS VULNERABLE TO ATTACK WHILE ITS SHELL IS SOFT, EXPOSING ITS WEAK AND TENDER BODY.","Bio: 'POKéMON' → 'POKEMON'. Strength: lower than unevolved form."
"012","BUTTERFREE","1.1M","32.21KG","BUTTERFLY",4,"CONFUSION","POISONPOWDER","STUN SPORE","SLEEP POWDER","IN BATTLE, IT FLAPS ITS WINGS AT HIGH SPEED TO RELEASE HIGHLY TOXIC DUST INTO THE AIR.","-"
"013","WEEDLE","0.3M","3.18KG","HAIRY BUG",2,"POISON STING","STRING SHOT","-","-","OFTEN FOUND IN FORESTS, EATING LEAVES. IT HAS A SHARP VENOMOUS STINGER ON ITS HEAD.","-"
"014","KAKUNA","0.6M","9.98KG","COCOON",2,"HARDEN","-","-","-","ALMOST INCAPABLE OF MOVING, THIS POKEMON CAN ONLY HARDEN ITS SHELL TO PROTECT ITSELF FROM PREDATORS.","Bio: 'POKéMON' → 'POKEMON'."
"015","BEEDRILL","1.0M","29.48KG","POISON BEE",6,"FURY ATTACK","FOCUS ENERGY","TWINEEDLE","RAGE","FLIES AT HIGH SPEED AND ATTACKS USING ITS LARGE VENOMOUS STINGERS ON ITS FORELEGS AND TAIL.","-"
"016","PIDGEY","0.3M","1.81KG","TINY BIRD",6,"GUST","SAND-ATTACK","QUICK ATTACK","WHIRLWIND","A COMMON SIGHT IN FORESTS AND WOODS. IT FLAPS ITS WINGS AT GROUND LEVEL TO KICK UP BLINDING SAND.","Strength: higher than evolved form."
"017","PIDGEOTTO","1.1M","29.94KG","BIRD",2,"QUICK ATTACK","WHIRLWIND","WING ATTACK","AGILITY","VERY PROTECTIVE OF ITS SPRAWLING TERRITORIAL AREA, THIS POKEMON WILL FIERCELY PECK AT ANY INTRUDER.","Bio: 'POKéMON' → 'POKEMON'. Strength: lower than unevolved form."
