"Page","Name","HT","WT","Type","Strength","Attack 1","Attack 2","Attack 3","Attack 4","Bio","Comments"
"001","BULBASAUR","02′04″","15LB","SEED",4,"TACKLE","GROWL","LEECH SEED","VINE WHIP","A STRANGE SEED WAS PLANTED ON ITS BACK AT BIRTH. THE PLANT SPROUTS AND GROWS WITH THIS POKEMON.","Bio: 'POKéMON' → 'POKEMON'."
"002","IVYSAUR","03′03″","29LB","SEED",5,"LEECH SEED","VINE WHIP","POISONPOWDER","RAZOR LEAF","WHEN THE BULB ON ITS BACK GROWS LARGE, IT APPEARS TO LOSE THE ABILITY TO STAND ON ITS HIND LEGS.","-"
"003","VENUSAUR","06′07″","221LB","SEED",6,"RAZOR LEAF","GROWTH","SLEEP POWDER","SOLARBEAM","THE PLANT BLOOMS WHEN IT IS ABSORBING SOLAR ENERGY. IT STAYS ON THE MOVE TO SEEK SUNLIGHT.","-"
"004","CHARMANDER","02′00″","19LB","LIZARD",4,"SCRATCH","GROWL","EMBER","LEER","OBVIOUSLY PREFERS HOT PLACES. WHEN IT RAINS, STEAM IS SAID TO SPOUT FROM THE TIP OF ITS TAIL.","-"
"005","CHARMELEON","03′07″","42LB","FLAME",5,"EMBER","LEER","RAGE","SLASH","WHEN IT SWINGS ITS BURNING TAIL, IT ELEVATES THE TEMPERATURE TO UNBEARABLY HIGH LEVELS.","-"
"006","CHARIZARD","05′07″","200LB","FLAME",8,"RAGE","SLASH","FLAMETHROWER","FIRE SPIN","SPITS FIRE THAT IS HOT ENOUGH TO MELT BOULDERS. KNOWN TO CAUSE FOREST FIRES UNINTENTIONALLY.","-"
"007","SQUIRTLE","01′08″","20LB","TINYTURTLE",4,"TACKLE","TAIL WHIP","BUBBLE","WATER GUN","AFTER BIRTH, ITS BACK SWELLS AND HARDENS INTO A SHELL. POWERFULLY SPRAYS FOAM FROM ITS MOUTH.","-"
"008","WARTORTLE","03′03″","50LB","TURTLE",5,"BUBBLE","WATER GUN","WITHDRAW","BITE","OFTEN HIDES IN WATER TO STALK UNWARY PREY. FOR SWIMMING FAST, IT MOVES ITS EARS TO MAINTAIN BALANCE.","-"
"009","BLASTOISE","05′03″","189LB","SHELLFISH",9,"HYDRO PUMP","SKULL BASH","WITHDRAW","BITE","A BRUTAL POKEMON WITH PRESSURIZED WATER JETS ON ITS SHELL. THEY ARE USED FOR HIGH SPEED TACKLES.","Bio: 'POKéMON' → 'POKEMON'."
"010","CATERPIE","01′00″","6LB","WORM",4,"TACKLE","STRING SHOT","-","-","ITS SHORT FEET ARE TIPPED WITH SUCTION PADS THAT ENABLE IT TO TIRELESSLY CLIMB SLOPES AND WALLS.","Strength: higher than evolved form."
"011","METAPOD","02′04″","22LB","COCOON",3,"HARDEN","-","-","-","THIS POKEMON IS VULNERABLE TO ATTACK WHILE ITS SHELL IS SOFT, EXPOSING ITS WEAK AND TENDER BODY.","Bio: 'POKéMON' → 'POKEMON'. Strength: lower than unevolved form."
"012","BUTTERFREE","03′07″","71LB","BUTTERFLY",4,"CONFUSION","POISONPOWDER","STUN SPORE","SLEEP POWDER","IN BATTLE, IT FLAPS ITS WINGS AT HIGH SPEED TO RELEASE HIGHLY TOXIC DUST INTO THE AIR.","-"
"013","WEEDLE","01′00″","7LB","HAIRY BUG",2,"POISON STING","STRING SHOT","-","-","OFTEN FOUND IN FORESTS, EATING LEAVES. IT HAS A SHARP VENOMOUS STINGER ON ITS HEAD.","-"
"014","KAKUNA","02′00″","22LB","COCOON",2,"HARDEN","-","-","-","ALMOST INCAPABLE OF MOVING, THIS POKEMON CAN ONLY HARDEN ITS SHELL TO PROTECT ITSELF FROM PREDATORS.","Bio: 'POKéMON' → 'POKEMON'."
"015","BEEDRILL","03′03″","65LB","POISON BEE",6,"FURY ATTACK","FOCUS ENERGY","TWINEEDLE","RAGE","FLIES AT HIGH SPEED AND ATTACKS USING ITS LARGE VENOMOUS STINGERS ON ITS FORELEGS AND TAIL.","-"
"016","PIDGEY","01′00″","4LB","TINY BIRD",6,"GUST","SAND-ATTACK","QUICK ATTACK","WHIRLWIND","A COMMON SIGHT IN FORESTS AND WOODS. IT FLAPS ITS WINGS AT GROUND LEVEL TO KICK UP BLINDING SAND.","Strength: higher than evolved form."
"017","PIDGEOTTO","03′07″","66LB","BIRD",2,"QUICK ATTACK","WHIRLWIND","WING ATTACK","AGILITY","VERY PROTECTIVE OF ITS SPRAWLING TERRITORIAL AREA, THIS POKEMON WILL FIERCELY PECK AT ANY INTRUDER.","Bio: 'POKéMON' → 'POKEMON'. Strength: lower than unevolved form."
"018","PIDGEOT","04′11″","87LB","BIRD",7,"WHIRLWIND","WING ATTACK","AGILITY","MIRROR MOVE","WHEN HUNTING, IT SKIMS THE SURFACE OF WATER AT HIGH SPEED TO PICK OFF UNWARY PREY SUCH AS MAGIKARP.","-"
"019","RATTATA","01′00″","8LB","RAT",1,"TACKLE","TAIL WHIP","QUICK ATTACK","HYPER FANG","BITES ANYTHING WHEN IT ATTACKS. SMALL AND VERY QUICK, IT IS A COMMON SIGHT IN MANY PLACES.","-"
"020","RATICATE","02′04″","41LB","RAT",2,"QUICK ATTACK","HYPER FANG","FOCUS ENERGY","SUPER FANG","IT USES ITS WHISKERS TO MAINTAIN ITS BALANCE. IT APPARENTLY SLOWS DOWN IF THEY ARE CUT OFF.","-"
"021","SPEAROW","01′00″","4LB","TINY BIRD",5,"PECK","GROWL","LEER","FURY ATTACK","EATS BUGS IN GRASSY AREAS. SPEAROW HAS TO FLAP ITS SHORT WINGS AT HIGH SPEED TO STAY AIRBORNE.","Bio: 'It has' → 'SPEAROW HAS'."
"022","FEAROW","03′11″","84LB","BEAK",7,"FURY ATTACK","MIRROR MOVE","DRILL PECK","AGILITY","WITH ITS HUGE AND MAGNIFICENT WINGS IT CAN KEEP ALOFT WITHOUT EVER HAVING TO LAND FOR REST.","Bio: 'wings, it' → 'WINGS IT'."
"023","EKANS","06′07″","15LB","SNAKE",7,"WRAP","LEER","POISON STING","BITE","MOVES SILENTLY AND STEALTHILY. EATS THE EGGS OF BIRDS SUCH AS PIDGEY AND SPEAROW WHOLE.","Bio: 'birds, such as Pidgey and Spearow, whole.' → No commas."
"024","ARBOK","11′06″","143LB","COBRA",8,"BITE","GLARE","SCREECH","ACID","IT IS RUMORED THAT THE FEROCIOUS WARNING MARKINGS ON ITS BELLY DIFFER FROM AREA TO AREA.","-"
"025","PIKACHU","01′04″","13LB","MOUSE",9,"THUNDERSHOCK","GROWL","THUNDER WAVE","QUICK ATTACK","WHEN SEVERAL OF THESE POKEMON GATHER, THEIR ELECTRICITY COULD BUILD AND CAUSE LIGHTNING STORMS.","Bio: 'POKéMON' → 'POKEMON'. Strength: higher than evolved form."
"026","RAICHU","02′07″","66LB","MOUSE",7,"THUNDERSHOCK","GROWL","THUNDER WAVE","-","ITS LONG TAIL SERVES AS A GROUND TO PROTECT ITSELF FROM ITS OWN HIGH VOLTAGE POWER.","Strength: lower than unevolved form."
